month,avg_pm25_actual,forecast_next_month
2015-01,175.69,39.99
2015-02,153.92,40.39
2015-03,80.34,53.23
2015-04,91.56,129.7
2015-05,97.11,220.81
2015-06,85.78,186.38
2015-07,52.73,186.39
2015-08,56.93,132.87
2015-09,74.22,85.39
2015-10,132.05,91.39
2015-11,227.71,91.3
2015-12,183.91,67.44
2016-01,258.54,39.66
2016-02,145.0,40.05
2016-03,94.92,52.8
2016-04,119.04,128.64
2016-05,92.86,219.0
2016-06,80.09,184.85
2016-07,56.01,184.85
2016-08,45.64,131.77
2016-09,64.58,84.68
2016-10,167.84,90.64
2016-11,306.02,90.55
2016-12,232.42,66.89
2017-01,199.43,39.33
2017-02,171.87,39.72
2017-03,109.24,52.36
2017-04,117.27,127.58
2017-05,129.62,217.2
2017-06,61.5,183.32
2017-07,34.72,183.33
2017-08,37.42,130.69
2017-09,52.44,83.99
2017-10,146.7,89.9
2017-11,249.79,89.8
2017-12,189.34,66.34
2018-01,189.79,39.01
2018-02,137.89,39.4
2018-03,99.29,51.93
2018-04,90.47,126.53
2018-05,88.48,215.41
2018-06,80.96,181.82
2018-07,41.64,181.82
2018-08,41.04,129.61
2018-09,45.35,83.3
2018-10,134.32,89.16
2018-11,202.32,89.07
2018-12,229.59,65.79
2019-01,204.35,38.69
2019-02,122.32,39.07
2019-03,84.15,51.5
2019-04,82.31,125.49
2019-05,89.75,213.64
2019-06,63.84,180.32
2019-07,46.73,180.33
2019-08,34.12,128.55
2019-09,40.13,82.61
2019-10,123.66,88.42
2019-11,205.39,88.33
2019-12,205.24,65.25
2020-01,157.11,38.37
2020-02,121.48,38.75
2020-03,57.51,51.08
2020-04,44.94,124.45
2020-05,55.45,211.88
2020-06,46.69,178.84
