month,avg_pm25_actual,forecast_next_month
2017-01,199.43,326.75
2017-02,171.87,177.23
2017-03,109.24,104.09
2017-04,117.27,125.78
2017-05,129.62,111.92
2017-06,61.5,98.51
2017-07,34.72,64.04
2017-08,37.42,59.57
2017-09,52.44,80.44
2017-10,146.7,174.15
2017-11,249.79,293.14
2017-12,189.34,208.24
2018-01,189.79,215.7
2018-02,137.89,147.56
2018-03,99.29,88.37
2018-04,90.47,101.64
2018-05,88.48,96.63
2018-06,80.96,65.54
2018-07,41.64,43.4
2018-08,41.04,43.04
2018-09,45.35,56.86
2018-10,134.32,124.11
2018-11,202.32,216.63
2018-12,229.59,163.38
2019-01,204.35,194.59
2019-02,122.32,145.05
2019-03,84.15,89.81
2019-04,82.31,96.86
2019-05,89.75,93.02
2019-06,63.84,67.6
2019-07,46.73,39.45
2019-08,34.12,40.91
2019-09,40.13,52.5
2019-10,123.66,121.54
2019-11,205.39,212.26
2019-12,205.24,172.49
2020-01,157.11,182.5
2020-02,121.48,127.22
2020-03,57.51,81.17
2020-04,44.94,81.81
2020-05,55.45,75.2
2020-06,46.69,52.15
