Date,Actual,Predicted,Model
2020-01-31,54.78,65.84,Stacked LSTM
2020-02-01,62.69,63.16,Stacked LSTM
2020-02-02,55.24,61.09,Stacked LSTM
2020-02-03,62.25,59.00,Stacked LSTM
2020-02-04,70.68,58.58,Stacked LSTM
2020-02-05,65.32,60.21,Stacked LSTM
2020-02-06,58.41,62.47,Stacked LSTM
2020-02-07,52.19,61.83,Stacked LSTM
2020-02-08,48.76,59.12,Stacked LSTM
2020-02-09,55.93,56.44,Stacked LSTM
2020-02-10,61.04,54.89,Stacked LSTM
2020-02-11,59.87,55.23,Stacked LSTM
2020-02-12,63.21,57.61,Stacked LSTM
2020-02-13,57.44,59.88,Stacked LSTM
2020-02-14,51.32,58.34,Stacked LSTM
2020-02-15,48.65,55.67,Stacked LSTM
2020-02-16,44.23,52.11,Stacked LSTM
2020-02-17,46.87,49.56,Stacked LSTM
2020-02-18,50.12,48.23,Stacked LSTM
2020-02-19,53.44,48.91,Stacked LSTM
2020-02-20,49.78,50.34,Stacked LSTM
2020-02-21,45.23,50.87,Stacked LSTM
2020-02-22,42.67,49.12,Stacked LSTM
2020-02-23,40.11,46.78,Stacked LSTM
2020-02-24,38.54,44.23,Stacked LSTM
2020-02-25,36.89,41.67,Stacked LSTM
2020-02-26,35.23,39.12,Stacked LSTM
2020-02-27,34.67,37.56,Stacked LSTM
2020-02-28,33.12,36.01,Stacked LSTM
2020-02-29,32.56,34.45,Stacked LSTM
2020-03-01,31.01,32.89,Stacked LSTM
2020-03-02,30.45,31.34,Stacked LSTM
2020-03-03,29.89,30.78,Stacked LSTM
2020-03-04,28.34,30.23,Stacked LSTM
2020-03-05,27.78,29.67,Stacked LSTM
2020-03-06,27.23,29.12,Stacked LSTM
2020-03-07,26.67,28.56,Stacked LSTM
2020-03-08,26.12,28.01,Stacked LSTM
2020-03-09,25.56,27.45,Stacked LSTM
2020-03-10,25.01,26.89,Stacked LSTM
2020-03-11,24.45,26.34,Stacked LSTM
2020-03-12,23.89,25.78,Stacked LSTM
2020-03-13,23.34,25.23,Stacked LSTM
2020-03-14,22.78,24.67,Stacked LSTM
2020-03-15,22.23,24.12,Stacked LSTM
2020-03-20,21.67,23.56,Stacked LSTM
2020-03-25,21.12,23.01,Stacked LSTM
2020-04-01,20.56,22.45,Stacked LSTM
2020-04-15,20.01,21.89,Stacked LSTM
2020-05-01,19.45,21.34,Stacked LSTM
2020-05-15,18.89,20.78,Stacked LSTM
2020-06-01,18.34,20.23,Stacked LSTM
2020-06-15,22.97,23.77,Stacked LSTM
2020-06-20,24.19,23.05,Stacked LSTM
2020-06-25,22.19,22.71,Stacked LSTM
2020-06-30,22.17,22.29,Stacked LSTM
2020-07-01,25.63,21.66,Stacked LSTM
